id:ID,:LABEL,name,description,category,pali,sanskrit,tradition,language,source_file
concept_sila,Concept,Sila,Ethical conduct or moral discipline.,ethics,sila,sila,,,data/seeds/concepts.json
concept_ayatana,Concept,Six Sense Bases,The internal and external sense bases involved in perceptual experience.,analysis,ayatana,ayatana,,,data/seeds/concepts.json
concept_sunyata,Concept,Sunyata,A Mahayana concept commonly translated as emptiness.,,,sunyata,,,data/seeds/core.json
concept_tanha,Concept,Tanha,Craving or thirst; a central condition in the arising of suffering.,psychology,tanha,trsna,,,data/seeds/concepts.json
concept_three_marks,Concept,Three Marks of Existence,"The marks of impermanence, suffering or unsatisfactoriness, and not-self.",doctrine,tilakkhana,trilaksana,,,data/seeds/concepts.json
concept_two_truths,Concept,Two Truths,The distinction between conventional truth and ultimate truth.,mahayana,,satya-dvaya,,,data/seeds/concepts.json
concept_upekkha,Concept,Upekkha,Equanimity; balanced presence toward changing experience.,practice,upekkha,upeksa,,,data/seeds/concepts.json
person_nagarjuna,Person,Nagarjuna,A major Buddhist philosopher associated with Madhyamaka.,,,,Mahayana,,data/seeds/core.json
school_madhyamaka,School,Madhyamaka,A Mahayana philosophical school associated with analysis of emptiness.,,,,,,data/seeds/core.json
school_theravada,School,Theravada,A Buddhist tradition preserving the Pali Canon.,,,,,,data/seeds/core.json
text_dhammapada,Text,Dhammapada,"A collection of verses from the Pali Canon, traditionally arranged into 26 chapters.",,,,Theravada,Pali,data/seeds/dhammapada.json
text_mulamadhyamakakarika,Text,Mulamadhyamakakarika,A foundational Madhyamaka text attributed to Nagarjuna.,,,,Mahayana,Sanskrit,data/seeds/core.json
